DATE,AUTO_INDEX NAME,AUTO_OPEN,AUTO_HIGH,AUTO_LOW,AUTO_CLOSE,AUTO_CLOSE_RETURNS,BANK_INDEX NAME,BANK_OPEN,BANK_HIGH,BANK_LOW,BANK_CLOSE,BANK_CLOSE_RETURNS,FMCG_INDEX NAME,FMCG_OPEN,FMCG_HIGH,FMCG_LOW,FMCG_CLOSE,FMCG_CLOSE_RETURNS,IT_INDEX NAME,IT_OPEN,IT_HIGH,IT_LOW,IT_CLOSE,IT_CLOSE_RETURNS,METAL_INDEX NAME,METAL_OPEN,METAL_HIGH,METAL_LOW,METAL_CLOSE,METAL_CLOSE_RETURNS,PHARMA_INDEX NAME,PHARMA_OPEN,PHARMA_HIGH,PHARMA_LOW,PHARMA_CLOSE,PHARMA_CLOSE_RETURNS
2019-10-14,NIFTY AUTO,7401.5,7559.6,7397.8,7520.35,0.016531407351890324,NIFTY BANK,28238.5,28553.4,28043.25,28181.95,0.004960485551995752,NIFTY FMCG,30585.5,30699.9,30493.1,30591.0,0.0057304868391573945,NIFTY IT,15202.2,15338.6,15147.7,15277.75,-0.002885655923283695,NIFTY METAL,2360.65,2386.5,2352.0,2360.2,0.009835516666668789,NIFTY PHARMA,7296.05,7411.8,7281.85,7787.051925,0.0
2019-10-15,NIFTY AUTO,7522.0,7701.95,7510.1,7688.25,0.022080509917614597,NIFTY BANK,28257.85,28694.85,28186.25,28555.1,0.013153852035114778,NIFTY FMCG,30783.5,31059.6,30687.85,30927.9,0.010952841094460587,NIFTY IT,15254.4,15281.45,15191.05,15208.4,-0.004549614800353639,NIFTY METAL,2354.45,2425.85,2331.45,2397.05,0.01549245343277462,NIFTY PHARMA,7371.75,7434.05,7349.25,7787.051925,0.0
2019-10-16,NIFTY AUTO,7709.8,7720.4,7642.8,7673.8,-0.001881259891969121,NIFTY BANK,28689.45,28759.35,28305.4,28538.8,-0.0005709892105060569,NIFTY FMCG,30945.6,30980.25,30754.4,30899.0,-0.0009348682241818654,NIFTY IT,15223.5,15373.35,15213.2,15344.9,0.008935264483172823,NIFTY METAL,2411.8,2416.25,2379.55,2388.3,-0.0036569988617805986,NIFTY PHARMA,7448.05,7486.0,7387.9,7787.051925,0.0
2019-10-17,NIFTY AUTO,7676.55,7954.2,7655.5,7914.0,0.030821413505718282,NIFTY BANK,28596.35,29049.05,28487.95,28989.45,0.015667405780415655,NIFTY FMCG,30928.5,31358.55,30889.3,31331.9,0.013912926954246221,NIFTY IT,15257.95,15313.9,15160.2,15281.9,-0.004114049711909293,NIFTY METAL,2369.55,2424.75,2352.1,2410.95,0.009439044920617397,NIFTY PHARMA,7480.15,7545.35,7428.65,7787.051925,0.0
2019-10-18,NIFTY AUTO,7900.15,8007.15,7848.95,7964.75,0.006392212586664164,NIFTY BANK,28954.8,29249.5,28864.1,29120.25,0.004501837762206436,NIFTY FMCG,31313.05,31544.2,31227.25,31501.45,0.005396828643467562,NIFTY IT,15271.95,15434.55,15241.0,15410.1,0.008354017045790613,NIFTY METAL,2413.25,2463.25,2398.65,2456.0,0.018513149583773352,NIFTY PHARMA,7530.65,7651.95,7500.5,7787.051925,0.0
2019-10-22,NIFTY AUTO,7961.15,8027.8,7920.0,7936.65,-0.003534283679440821,NIFTY BANK,29416.25,29690.0,29231.2,29411.15,0.00994004569109956,NIFTY FMCG,31462.4,31842.8,31453.05,31659.4,0.005001526396915307,NIFTY IT,15033.3,15085.45,14659.45,14688.65,-0.04794805189203644,NIFTY METAL,2453.0,2478.4,2430.1,2442.85,-0.005368619812478247,NIFTY PHARMA,7607.95,7799.4,7597.7,7787.051925,0.0
2019-10-23,NIFTY AUTO,7915.6,8071.15,7879.4,8036.6,0.012514836306959837,NIFTY BANK,29478.85,29643.8,29214.05,29459.6,0.0016459790622196549,NIFTY FMCG,31739.7,31939.45,31643.55,31899.55,0.007556800193121869,NIFTY IT,14640.85,14911.2,14566.55,14833.35,0.009802937387359588,NIFTY METAL,2436.5,2458.1,2420.75,2436.85,-0.002459168811097153,NIFTY PHARMA,7760.65,7785.8,7711.95,7787.051925,0.0
2019-10-24,NIFTY AUTO,8060.35,8103.1,7965.55,8012.4,-0.003015766507729374,NIFTY BANK,29604.35,29693.25,28994.2,29107.95,-0.012008500467249831,NIFTY FMCG,32026.2,32089.75,31649.05,31752.8,-0.004610992681568551,NIFTY IT,14956.65,14970.35,14756.55,14781.5,-0.0035016252305424783,NIFTY METAL,2435.2,2453.45,2414.85,2419.55,-0.00712464919687035,NIFTY PHARMA,7770.3,7800.25,7652.5,7787.051925,0.0
2019-10-25,NIFTY AUTO,8032.45,8034.35,7927.75,7986.35,-0.003256507292299026,NIFTY BANK,29228.65,29452.1,28923.8,29395.95,0.009845577010952235,NIFTY FMCG,32172.15,32176.4,31589.6,31685.6,-0.0021185914252315127,NIFTY IT,14883.4,14943.75,14720.85,14898.85,0.007907629896320309,NIFTY METAL,2419.05,2437.0,2404.9,2410.85,-0.003602190049450927,NIFTY PHARMA,7719.45,7757.1,7591.7,7787.051925,0.0
2019-10-27,NIFTY AUTO,8086.4,8135.15,8071.25,8102.0,0.01437711040311159,NIFTY BANK,29605.4,29644.45,29446.8,29516.3,0.004085743369836573,NIFTY FMCG,31879.85,31918.35,31758.4,31803.45,0.0037124554660651916,NIFTY IT,15012.45,15058.45,14916.05,14956.4,0.0038552731115016696,NIFTY METAL,2425.15,2436.5,2416.15,2421.95,0.00459361840702008,NIFTY PHARMA,7741.5,7776.75,7729.95,7787.051925,0.0
